date,time,tempC,tempF,windspeedMiles,windspeedKmph,winddirdegree,winddir16point,weatherCode,weatherIconUrl,weatherDesc,precipMM,humidity,visibilityKm,pressureMB,cloudcover,HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustMiles,WindGustKmph,FeelsLikeC,FeelsLikeF,,,
21/04/2020,24,12,53,8,13,64,ENE,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0,0,84,10,6,1018,31,52,8,47,5,42,6,43,13,22,6,"43
"
22/04/2020,24,15,58,5,8,71,ENE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0,0,81,10,6,1021,31,30,10,50,7,44,9,48,9,14,9,"48
"
23/04/2020,24,15,59,4,7,108,ESE,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0,0,84,10,6,1020,31,49,11,52,8,47,11,51,7,11,11,"51
"
24/04/2020,24,16,61,3,5,134,SE,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.2,0,82,9,5,1016,30,50,12,54,9,48,12,54,4,7,12,"54
"
25/04/2020,24,15,59,5,8,120,ESE,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.1,0,88,6,3,1013,30,72,11,52,9,49,11,51,7,12,11,"51
"
26/04/2020,24,13,56,3,5,123,ESE,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0,0,89,7,4,1011,30,76,10,51,9,47,10,50,5,8,10,"50
"
27/04/2020,24,9,49,6,9,82,E,353,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,1.5,0.1,90,8,4,1009,30,82,7,45,6,43,5,41,8,13,5,"41
"
28/04/2020,24,11,52,5,8,170,S,353,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,1.1,0,88,9,5,1005,30,69,8,47,6,43,7,45,8,13,7,"45
"
29/04/2020,24,11,52,13,20,236,WSW,353,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,21.2,0.8,84,9,5,994,30,82,8,47,5,41,5,41,19,30,5,"41
"
30/04/2020,24,12,54,8,12,279,W,299,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0010_heavy_rain_showers.png,Moderate rain at times,4.8,0.2,81,10,5,992,30,41,7,45,4,40,5,41,12,20,5,"41
"
01/05/2020,24,12,54,10,17,290,WNW,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.5,0,81,10,6,1002,30,18,8,47,4,40,6,42,16,26,6,"42
"
02/05/2020,24,13,55,7,12,109,ESE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0,0,82,8,4,1011,30,28,8,46,5,40,6,42,11,18,6,"42
"
03/05/2020,24,11,51,8,13,99,E,266,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light drizzle,3.3,0.1,93,8,4,1014,30,95,9,48,8,46,7,44,12,20,7,"44
"
04/05/2020,24,13,55,12,20,79,ENE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0,0,78,9,5,1018,31,20,10,49,6,43,7,45,18,29,7,"45
"
05/05/2020,24,10,51,19,30,91,E,266,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light drizzle,0.6,0,83,9,5,1015,30,80,9,49,7,44,6,43,29,47,6,"43
"
06/05/2020,24,10,50,15,24,110,ESE,302,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0018_cloudy_with_heavy_rain.png,Moderate rain,4,0.2,96,9,5,1020,31,100,9,48,9,49,6,43,23,36,6,"43
"
07/05/2020,24,15,59,10,16,191,S,266,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light drizzle,2.7,0.1,93,8,4,1018,31,85,12,53,11,51,10,51,15,23,10,"51
"
08/05/2020,24,16,61,4,7,141,SE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0,0,87,6,3,1017,31,49,12,53,10,49,12,53,6,9,12,"53
"
09/05/2020,24,17,63,4,7,104,ESE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.7,0,83,8,4,1013,30,43,13,55,10,50,13,55,6,10,13,"55
"
10/05/2020,24,15,60,12,19,32,NNE,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.4,0,84,9,5,1013,30,84,12,53,9,48,10,50,17,27,10,"50
"
11/05/2020,24,10,49,14,23,64,ENE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0,0,66,10,6,1025,31,12,7,44,1,33,3,37,20,33,3,"37
"
12/05/2020,24,11,52,5,8,94,E,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0,0,72,10,6,1024,31,12,6,42,1,34,4,40,7,12,4,"40
"
13/05/2020,24,12,53,9,14,61,ENE,119,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0003_white_cloud.png,Cloudy,0,0,79,9,5,1020,31,21,7,44,3,38,4,40,14,22,4,"40
"
14/05/2020,24,12,54,5,8,125,SE,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.2,0,77,10,6,1025,31,30,7,45,3,37,6,42,8,13,6,"42
"
15/05/2020,24,13,56,5,9,288,WNW,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.1,0,80,9,5,1027,31,27,9,48,5,41,7,45,9,14,7,"45
"
16/05/2020,24,13,56,8,13,225,SW,119,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0003_white_cloud.png,Cloudy,0,0,80,10,6,1026,31,34,9,48,6,42,7,45,11,18,7,"45
"
17/05/2020,24,13,55,13,21,213,SSW,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.1,0,86,10,6,1022,31,81,10,50,8,46,8,46,19,30,8,"46
"
18/05/2020,24,16,60,13,20,223,SW,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.2,0,90,10,6,1022,31,95,13,55,11,52,11,52,18,28,11,"52
"
19/05/2020,24,17,63,9,15,211,SSW,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0,0,89,8,4,1022,31,58,14,56,12,53,13,55,13,21,13,"55
"
20/05/2020,24,15,59,10,17,184,S,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.1,0,86,9,5,1018,31,44,13,55,10,51,11,53,14,23,11,"53
"
21/05/2020,24,14,58,12,19,154,SSE,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,8,0.3,85,7,4,1016,30,51,11,52,9,48,9,49,17,28,9,"49
"
22/05/2020,24,14,57,24,39,239,WSW,353,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,14,0.6,76,9,5,1008,30,64,11,52,7,45,8,46,36,58,8,"46
"
23/05/2020,24,14,56,17,27,262,W,353,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,0.6,0,73,10,6,1021,31,62,11,52,7,44,8,47,25,41,8,"47
"
24/05/2020,24,15,59,10,16,226,SW,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0,0,81,10,6,1031,31,20,12,53,8,47,10,50,14,23,10,"50
"
25/05/2020,24,15,58,11,18,202,SSW,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0,0,88,8,4,1033,31,59,11,52,9,49,9,49,16,26,9,"49
"
26/05/2020,24,18,64,3,5,140,SE,353,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,0.4,0,90,6,3,1036,31,72,15,58,13,55,15,58,5,8,15,"58
"
27/05/2020,24,18,65,5,8,112,ESE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0,0,85,7,4,1036,31,33,14,58,12,53,14,58,8,12,14,"58
"
28/05/2020,24,18,64,11,18,125,SE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0,0,83,10,6,1030,31,14,14,57,11,52,13,56,17,27,13,"56
"
29/05/2020,24,17,62,12,20,137,SE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0,0,81,10,6,1023,31,27,14,57,11,51,13,55,19,30,13,"55
"
30/05/2020,24,17,62,10,16,118,ESE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0,0,86,8,4,1020,31,26,14,57,11,52,13,55,14,23,13,"55
"
31/05/2020,24,17,62,9,15,94,E,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0,0,84,9,5,1020,31,13,14,57,11,52,14,57,14,23,14,"57
"
01/06/2020,24,18,65,6,10,91,E,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0,0,76,10,6,1024,31,33,14,58,10,50,14,57,10,16,14,"57
"
02/06/2020,24,22,72,6,10,336,NNW,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0,0,75,10,6,1022,31,15,18,64,12,53,17,62,10,16,17,"62
"
03/06/2020,24,16,61,14,22,99,E,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.7,0,79,10,6,1015,30,80,14,57,10,50,13,55,19,31,13,"55
"
04/06/2020,24,14,57,13,21,307,NW,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.1,0,81,10,6,1010,30,85,11,52,8,47,8,47,19,30,8,"47
"
05/06/2020,24,15,58,13,21,321,NW,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.5,0,74,10,6,1005,30,80,11,52,7,44,9,48,19,30,9,"48
"
06/06/2020,24,13,55,16,26,317,NW,353,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,0.4,0,76,10,6,1008,30,60,9,48,5,41,6,42,24,39,6,"42
"
07/06/2020,24,16,60,11,18,346,NNW,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0,0,77,10,6,1014,30,69,12,53,8,46,10,50,16,26,10,"50
"
08/06/2020,24,15,59,7,11,310,NW,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.1,0,75,10,6,1020,31,54,11,53,7,45,10,50,11,18,10,"50
"
09/06/2020,24,15,59,6,10,251,WSW,119,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0003_white_cloud.png,Cloudy,0,0,77,10,6,1021,31,46,11,52,7,45,10,50,10,16,10,"50
"
